TitreId,filmoId,typeTitreId,prefixe,titre
885,957,1,Le,Roman de Marguerite Gautier
886,958,1,,Rocket Ship
887,958,1,,Space Soldiers
888,959,1,Les,Horizons perdus
889,960,1,,Femmes marquées
890,961,1,,Une étoile est née
891,962,1,La,Force des ténèbres
892,963,1,,Vie facile
893,963,1,La,Vie est facile
894,965,1,Le,Couple invisible
895,966,1,Le,Prisonnier de Zenda
896,967,1,,Thomas Garner
897,968,1,,Prologues
898,969,1,,Je ne suis pas un ange
899,970,1,Le,Grand avocat
900,972,1,,Au pays du rêve
901,973,1,,New York - Miami
903,980,1,La,Divine comédie
905,989,1,La,Famille Addams
906,993,1,,Hanna en mer
920,1002,1,,Train de luxe
921,1003,1,,Et demain?
922,1004,1,,Cléopâtre
923,1005,1,The,Menace
924,1006,1,,Miss Barrett
925,1007,1,,Folies bergères de Paris
926,1008,1,,Toute la ville en parle
927,1014,1,,Jeux de mains
928,1015,1,Les,Révoltés du Bounty
929,1017,1,,Capitaine Blood
930,1018,1,La,Forêt pétrifiée
931,1019,1,Le,Grand Ziegfeld
932,1019,1,The,Great Ziegfield
933,1020,1,,Désir
934,1021,1,,Furie
935,1022,1,,Sur les ailes de la danse
936,1023,1,,Une femme sous influence
937,1024,1,The,Devil Probably
938,1034,1,,Un meurtre sans importance
939,1035,1,L',Impossible Monsieur Bébé
940,1036,1,La,Folle parade
941,1037,1,,Vous ne l'emporterez pas avec vous
942,1040,1,Les,Anges aux figures sales
943,1042,1,La,Ronde des pantins
944,1043,1,La,Chevauchée fantastique
945,1044,1,La,Baronne de minuit
946,1045,1,L',Esclave aux mains d'or
947,1046,1,La,Vieille fille
948,1047,1,,Place au rythme
949,1048,1,,Pacific-Express
950,1050,1,La,Lumière qui s'éteint
951,1051,1,,Quasimodo
952,1052,1,,Il était une fois dans l'ouest
953,1052,1,,Once Upon a Time in the West
957,1056,1,Les,Dents de la mer
958,1056,1,Der,Weibe Hai
960,1058,1,Les,Aventuriers de l'arche perdue
961,1060,1,,Loin de la foule déchaînée
962,1061,1,,Vivre libre
963,1062,1,La,Rumeur
964,1062,1,The,Loudest Whisper
965,1062,1,,Infame mentira
966,1063,1,La,Vipère
973,1067,1,,Voyage au centre de la terre
974,1068,1,L',Aventure du Poséidon
975,1069,1,,Cléopâtre
976,1070,1,,Voyage fantastique
977,1070,1,Le,Voyage fantastique
978,1071,1,L',Étrangleur de Boston
979,1072,1,L',Extravagant docteur Dolittle
980,1073,1,,Butch Cassidy et le kid
982,1081,1,,El Dorado
983,1090,1,Le,Rayon invisible
984,1090,1,The,Crazy Ray
985,1099,1,,Trahie
989,1102,1,,"Roma, ciudad abierta"
990,1102,1,,"Rome, ville ouverte"
991,1102,1,,Open City
992,1104,1,,Flammendes inferno
993,1104,1,La,Tour infernale
995,1107,1,Le,Sous-marin de l'apocalypse
