person,personLabel,distinction,distinctionLabel,date
http://data.cinematheque.qc.ca/resource/Person49200,Max von Sydow,http://www.wikidata.org/entity/Q932281,Prix du cinéma européen du meilleur acteur,1988-01-01T00:00:00Z
http://data.cinematheque.qc.ca/resource/Person49200,Max von Sydow,http://www.wikidata.org/entity/Q908858,prix Donostia,2006-01-01T00:00:00Z
http://data.cinematheque.qc.ca/resource/Person49200,Max von Sydow,http://www.wikidata.org/entity/Q3368405,médaille Litteris et Artibus,1978-01-01T00:00:00Z
http://data.cinematheque.qc.ca/resource/Person111834,Fred Pellerin,http://www.wikidata.org/entity/Q51527076,docteur honoris causa de l'Université Laval,2014-01-01T00:00:00Z
http://data.cinematheque.qc.ca/resource/Person111834,Fred Pellerin,http://www.wikidata.org/entity/Q61478580,Compagne/Compagnon de l'Ordre des arts et des lettres du Québec,2015-01-01T00:00:00Z
http://data.cinematheque.qc.ca/resource/Person111834,Fred Pellerin,http://www.wikidata.org/entity/Q15463524,chevalier de l'Ordre national du Québec,2012-01-01T00:00:00Z
http://data.cinematheque.qc.ca/resource/Person1063,Claude Jutra,http://www.wikidata.org/entity/Q3404315,prix Albert-Tessier,1984-01-01T00:00:00Z
http://data.cinematheque.qc.ca/resource/Person148430,Adam Driver,http://www.wikidata.org/entity/Q1258647,Saturn Award du meilleur acteur dans un second rôle,2016-01-01T00:00:00Z
http://data.cinematheque.qc.ca/resource/Person16070,Michel Brault,http://www.wikidata.org/entity/Q15464524,officier de l'Ordre national du Québec,2003-01-01T00:00:00Z
http://data.cinematheque.qc.ca/resource/Person16070,Michel Brault,http://www.wikidata.org/entity/Q992455,prix Molson,1979-01-01T00:00:00Z
http://data.cinematheque.qc.ca/resource/Person16070,Michel Brault,http://www.wikidata.org/entity/Q3404315,prix Albert-Tessier,1986-01-01T00:00:00Z
http://data.cinematheque.qc.ca/resource/Person16070,Michel Brault,http://www.wikidata.org/entity/Q510175,prix de la mise en scène,1975-01-01T00:00:00Z
http://data.cinematheque.qc.ca/resource/Person72881,Kim Nguyen,http://www.wikidata.org/entity/Q3459735,prix Écrans canadiens,2013-01-01T00:00:00Z
http://data.cinematheque.qc.ca/resource/Person12094,Marcel Ophuls,http://www.wikidata.org/entity/Q2073497,Prix Peter-Weiss,1992-01-01T00:00:00Z
http://data.cinematheque.qc.ca/resource/Person12094,Marcel Ophuls,http://www.wikidata.org/entity/Q472379,prix Adolf-Grimme,1972-01-01T00:00:00Z
http://data.cinematheque.qc.ca/resource/Person37191,Denis Villeneuve,http://www.wikidata.org/entity/Q3405815,prix du Gouverneur général pour les arts du spectacle,2011-01-01T00:00:00Z
http://data.cinematheque.qc.ca/resource/Person37191,Denis Villeneuve,http://www.wikidata.org/entity/Q61478580,Compagne/Compagnon de l'Ordre des arts et des lettres du Québec,2016-01-01T00:00:00Z
http://data.cinematheque.qc.ca/resource/Person37191,Denis Villeneuve,http://www.wikidata.org/entity/Q15278116,officier de l'Ordre du Canada,2017-12-29T00:00:00Z
http://data.cinematheque.qc.ca/resource/Person13583,Jean Bissonnette,http://www.wikidata.org/entity/Q3404685,prix Guy-Mauffette,2015-01-01T00:00:00Z
http://data.cinematheque.qc.ca/resource/Person13583,Jean Bissonnette,http://www.wikidata.org/entity/Q15464524,officier de l'Ordre national du Québec,2015-01-01T00:00:00Z
http://data.cinematheque.qc.ca/resource/Person77036,Denis Thériault,http://www.wikidata.org/entity/Q3377627,Prix Anne-Hébert,2002-01-01T00:00:00Z
http://data.cinematheque.qc.ca/resource/Person31185,Offenbach,http://www.wikidata.org/entity/Q10855271,chevalier de la Légion d'honneur,1861-08-13T00:00:00Z
http://data.cinematheque.qc.ca/resource/Person71552,Ari Folman,http://www.wikidata.org/entity/Q13452528,chevalier des Arts et des Lettres,2009-01-01T00:00:00Z
http://data.cinematheque.qc.ca/resource/Person71552,Ari Folman,http://www.wikidata.org/entity/Q1377745,Prix du cinéma européen du meilleur film d'animation,2013-01-01T00:00:00Z
http://data.cinematheque.qc.ca/resource/Person71552,Ari Folman,http://www.wikidata.org/entity/Q1604012,Ophir du cinéma,1991-01-01T00:00:00Z
http://data.cinematheque.qc.ca/resource/Person38999,Jacques Leduc,http://www.wikidata.org/entity/Q3404315,prix Albert-Tessier,2008-01-01T00:00:00Z
http://data.cinematheque.qc.ca/resource/Person43253,Paule Baillargeon,http://www.wikidata.org/entity/Q96336380,Prix Iris-Hommage,2012-01-01T00:00:00Z
http://data.cinematheque.qc.ca/resource/Person43253,Paule Baillargeon,http://www.wikidata.org/entity/Q3404315,prix Albert-Tessier,2009-01-01T00:00:00Z
http://data.cinematheque.qc.ca/resource/Person48736,Robert Morin,http://www.wikidata.org/entity/Q3404315,prix Albert-Tessier,2013-01-01T00:00:00Z
http://data.cinematheque.qc.ca/resource/Person24126,Roger Baulu,http://www.wikidata.org/entity/Q15464524,officier de l'Ordre national du Québec,1993-01-01T00:00:00Z
http://data.cinematheque.qc.ca/resource/Person28306,Jean Marais,http://www.wikidata.org/entity/Q3557042,Victoires du cinéma français,1951-01-01T00:00:00Z
http://data.cinematheque.qc.ca/resource/Person28306,Jean Marais,http://www.wikidata.org/entity/Q727282,César d'honneur,1993-01-01T00:00:00Z
http://data.cinematheque.qc.ca/resource/Person3729,Michel Dumont,http://www.wikidata.org/entity/Q15464524,officier de l'Ordre national du Québec,2013-01-01T00:00:00Z
http://data.cinematheque.qc.ca/resource/Person42391,Philippe Lioret,http://www.wikidata.org/entity/Q13452524,officier des Arts et des Lettres,2014-01-16T00:00:00Z
http://data.cinematheque.qc.ca/resource/Person36271,André Gladu,http://www.wikidata.org/entity/Q3404315,prix Albert-Tessier,2018-01-01T00:00:00Z
http://data.cinematheque.qc.ca/resource/Person145920,Anggun,http://www.wikidata.org/entity/Q13452528,chevalier des Arts et des Lettres,2004-01-01T00:00:00Z
